"Date","Cases","Cumul"
2020-09-20,1,1
2020-09-21,1,2
2020-09-30,1,3
2020-10-01,1,4
2020-10-08,1,5
2020-10-11,3,8
2020-10-15,3,11
2020-10-21,14,25
2020-10-22,7,32
2020-10-23,3,35
2020-10-24,5,40
2020-10-25,1,41
2020-10-26,2,43
2020-10-29,17,60
2020-10-30,7,67
2020-10-31,3,70
2020-11-01,17,87
2020-11-02,34,121
2020-11-03,7,128
2020-11-04,2,130
2020-11-05,83,213
2020-11-06,19,232
2020-11-08,99,331
2020-11-09,33,364
2020-11-10,12,376
2020-11-11,30,406
2020-11-12,9,415
2020-11-13,3,418
2020-11-14,21,439
2020-11-16,6,445
2020-11-17,3,448
2020-11-19,1,449
2020-11-20,2,451
2020-11-21,5,456
2020-11-22,1,457
